word,language,meaning,pronunciation
"语言","zh","language","yǔyán"
"大学","zh","university","dàxué"
"怎么样","zh","how","zěnmeyàng"
"觉得","zh","to feel/think","juéde"
"语法","zh","grammar","yǔfǎ"
"听","zh","to listen","tīng"
"说","zh","to speak","shuō"
"比较","zh","relatively/to compare","bǐjiào"
"容易","zh","easy","róngyì"
"但是","zh","but","dànshì"
"读","zh","to read","dú"
"写","zh","to write","xiě"
"给","zh","to give","gěi"
"新","zh","new","xīn"
"同学","zh","classmate","tóngxué"
"同屋","zh","roommate","tóngwū"
"班","zh","class","bān"
"没","zh","not have","méi"
"箱子","zh","suitcase/box","xiāngzi"
"有","zh","to have","yǒu"
"这儿","zh","here","zhèr"
"重","zh","heavy","zhòng"
"黑","zh","black","hēi"
"红","zh","red","hóng"
"轻","zh","light (weight)","qīng"
"旧","zh","old (objects)","jiù"
"药","zh","medicine","yào"
"中药","zh","Chinese medicine","zhōngyào"
"西药","zh","Western medicine","xīyào"
"茶叶","zh","tea leaves","cháyè"
"里","zh","inside","li"
"日用品","zh","daily necessities","rìyòngpǐn"
"件","zh","piece (MW for clothes)","jiàn"
"衣服","zh","clothes","yīfu"
"把","zh","MW for umbrellas/chairs","bǎ"
"雨伞","zh","umbrella","yǔsǎn"
"雨","zh","rain","yǔ"
"平板电脑","zh","tablet computer","píngbǎn diànnǎo"
"本","zh","MW for books","běn"
"词典","zh","dictionary","cídiǎn"
"优盘","zh","USB flash drive","yōupán"
"支","zh","MW for pens/sticks","zhī"
"毛笔","zh","writing brush","máobǐ"
"笔","zh","pen/writing tool","bǐ"
"有","zh","not have","yǒu"
