word,language,meaning,pronunciation
"买","zh","To buy","mǎi"
"水果","zh","Fruit","shuǐguǒ"
"苹果","zh","Apple","píngguǒ"
"斤","zh","Jin (unit of weight equal to 0.5kg)","jīn"
"公斤","zh","Kilogram","gōngjīn"
"多少","zh","How much / How many","duōshao"
"多","zh","Many / Much","duō"
"少","zh","Few / Little","shǎo"
"块 (元)","zh","Kuai (Yuan) - basic unit of RMB","kuài (yuán)"
"毛 (角)","zh","Mao (Jiao) - 1/10 of a Yuan","máo (jiǎo)"
"分","zh","Fen - 1/100 of a Yuan","fēn"
"贵","zh","Expensive","guì"
"太...了","zh","Too...","tài...le"
"便宜","zh","Cheap / Inexpensive","piányi"
"(一)点儿","zh","A little bit / A bit","(yì) diǎnr"
"来","zh","To come / (used to substitute a verb)","lái"
"吧","zh","(Modal particle for suggestions/softening)","ba"
"还","zh","Also / Still / In addition","hái"
"别的","zh","Other / Else","bié de"
"橘子","zh","Tangerine / Mandarin orange","júzi"
"怎么","zh","How","zěnme"
"卖","zh","To sell","mài"
"两","zh","Two (used with measure words)","liǎng"
"一共","zh","Altogether / In total","yígòng"
"给","zh","To give","gěi"
"找","zh","To give change / To look for","zhǎo"
